Date,Close/Last,Volume,Open,High,Low
03/08/2023,297.82,50876270,296.77,298.43,294.88
03/07/2023,296.34,65955760,300.07,301.01,295.72
03/06/2023,300.02,56736290,300.94,304.00,299.82
03/03/2023,299.68,60511540,295.39,299.92,294.87
03/02/2023,293.61,53738560,288.66,294.43,288.37
03/01/2023,291.20,58286970,293.26,293.93,290.20
02/28/2023,293.56,48243140,293.30,296.124,292.96
02/27/2023,293.94,48995010,295.07,296.49,293.34
02/24/2023,291.85,74331960,291.76,292.97,290.05
02/23/2023,296.82,69294440,297.97,298.13,292.55
02/22/2023,294.25,51389240,294.62,296.3599,292.56
02/21/2023,294.03,46526710,297.26,298.73,293.89
02/17/2023,301.16,58230730,301.07,301.93,298.10
02/16/2023,303.30,59498630,304.38,308.43,303.15
02/15/2023,309.10,43427300,304.90,309.27,304.20
02/14/2023,306.75,64079060,302.89,307.72,300.91
02/13/2023,304.50,39636720,301.13,305.10,299.93
02/10/2023,299.70,50050100,299.48,301.57,297.25
02/09/2023,301.68,49137820,308.84,308.99,300.20
02/08/2023,304.37,56720860,308.54,309.50,303.67
02/07/2023,309.88,67583980,303.46,311.03,302.32
02/06/2023,303.59,40802350,303.51,305.91,302.22
02/03/2023,306.18,76170800,304.94,312.39,304.54
02/02/2023,311.72,83070630,307.57,313.68,306.73
02/01/2023,300.92,67562170,294.41,303.43,292.30
01/31/2023,294.62,46705110,290.31,294.72,290.20
01/30/2023,290.27,49405830,292.93,294.38,289.89
01/27/2023,296.26,56441940,292.00,298.26,291.88
01/26/2023,293.34,51596340,291.22,293.52,288.519
01/25/2023,287.73,50872020,283.77,288.36,281.18
01/24/2023,288.37,44875150,287.31,289.55,286.78
01/23/2023,288.96,52799910,283.54,290.21,282.73
01/20/2023,282.68,60613610,276.79,283.02,275.71
01/19/2023,275.15,44150440,276.22,277.375,273.89
01/18/2023,277.88,47754550,283.11,284.69,277.67
01/17/2023,281.54,36269740,280.77,282.85,279.581
01/13/2023,280.97,44802940,276.50,281.219,276.16
01/12/2023,279.05,60599950,278.12,280.10,273.74
01/11/2023,277.55,44077040,273.92,277.66,273.12
01/10/2023,272.83,35247760,269.49,272.94,268.97
01/09/2023,270.54,45568680,270.83,275.29,269.92
01/06/2023,268.80,54659740,263.35,269.94,260.34
01/05/2023,261.58,45396740,264.04,264.21,261.26
01/04/2023,265.74,47754860,266.64,267.45,262.53
01/03/2023,264.48,42335330,268.65,270.155,262.13
12/30/2022,266.28,37858280,263.62,266.41,262.29
12/29/2022,266.44,45893570,262.96,267.405,262.25
12/28/2022,260.10,47139040,263.17,265.47,259.73
12/27/2022,263.58,38009010,266.74,266.85,263.03
12/23/2022,267.36,39373580,265.47,268.04,263.53
12/22/2022,266.76,60278380,270.38,270.5149,262.455
12/21/2022,273.45,46394690,270.60,274.78,269.74
12/20/2022,269.54,51064200,268.56,271.32,266.95
12/19/2022,269.75,44167920,273.87,273.96,268.49
12/16/2022,274.25,68300350,276.20,277.77,272.61
12/15/2022,276.89,60554120,282.33,283.01,275.67
